match_id,team,opponent,team_score_innings1,toss,ground,result
110,Bangladesh,New Zealand,144,bat,Lord's,0
111,West Indies,India,157,bowl,Dubai International Stadium,0
112,Afghanistan,New Zealand,167,bat,Gaddafi Stadium,0
113,India,Afghanistan,151,bat,Eden Gardens,0
114,South Africa,Sri Lanka,167,bowl,Old Trafford,1
115,Bangladesh,India,162,bowl,Dubai International Stadium,1
116,New Zealand,Sri Lanka,157,bowl,Gaddafi Stadium,1
117,England,Afghanistan,154,bowl,Eden Gardens,0
118,Afghanistan,Sri Lanka,162,bat,Old Trafford,1
119,West Indies,Sri Lanka,133,bowl,Pallekele International Cricket Stadium,1
120,Afghanistan,Bangladesh,88,bat,Pallekele International Cricket Stadium,0
121,New Zealand,West Indies,131,bowl,Wankhede Stadium,1
122,Pakistan,South Africa,110,bat,Adelaide Oval,0
123,England,Pakistan,181,bowl,Eden Gardens,0
124,England,Sri Lanka,169,bowl,Melbourne Cricket Ground,1
125,Bangladesh,New Zealand,188,bat,Old Trafford,1
126,South Africa,Bangladesh,124,bat,Wankhede Stadium,0
127,India,Afghanistan,144,bowl,Eden Gardens,1
128,New Zealand,Afghanistan,180,bowl,Adelaide Oval,0
129,Australia,England,158,bowl,Gaddafi Stadium,1
130,Bangladesh,Pakistan,129,bowl,Adelaide Oval,1
131,West Indies,India,136,bat,Melbourne Cricket Ground,0
132,India,Pakistan,194,bowl,Lord's,1
133,India,Bangladesh,171,bowl,Old Trafford,1
134,Australia,Bangladesh,177,bat,Old Trafford,1
135,England,Afghanistan,170,bat,Wankhede Stadium,1
136,Afghanistan,Australia,141,bowl,Wankhede Stadium,1
137,Bangladesh,Pakistan,138,bat,Lord's,1
138,England,Afghanistan,147,bat,Dubai International Stadium,0
139,Sri Lanka,India,203,bowl,Eden Gardens,0
140,South Africa,New Zealand,179,bowl,Lord's,0
141,Afghanistan,West Indies,113,bat,Old Trafford,0
142,England,India,157,bat,Pallekele International Cricket Stadium,0
143,England,New Zealand,162,bat,Lord's,1
144,New Zealand,West Indies,150,bat,Dubai International Stadium,0
145,Sri Lanka,Australia,130,bowl,Old Trafford,1
146,South Africa,Sri Lanka,150,bat,Adelaide Oval,0
147,Bangladesh,West Indies,157,bowl,Wankhede Stadium,0
148,Pakistan,India,150,bat,Lord's,0
149,Afghanistan,New Zealand,180,bowl,Old Trafford,0
150,Bangladesh,Afghanistan,189,bowl,Eden Gardens,0
151,Sri Lanka,Bangladesh,165,bat,Dubai International Stadium,0
152,Afghanistan,India,194,bat,Pallekele International Cricket Stadium,1
153,Australia,Pakistan,172,bat,Adelaide Oval,0
154,Australia,West Indies,136,bat,Dubai International Stadium,0
155,Bangladesh,New Zealand,178,bat,Melbourne Cricket Ground,0
156,Australia,Sri Lanka,164,bowl,Pallekele International Cricket Stadium,0
157,Bangladesh,New Zealand,158,bowl,Dubai International Stadium,1
158,Australia,West Indies,144,bat,Old Trafford,0
159,South Africa,Bangladesh,156,bowl,SCG,1
160,Australia,South Africa,196,bat,Melbourne Cricket Ground,1
161,Australia,West Indies,150,bowl,SCG,1
162,South Africa,West Indies,167,bat,Lord's,0
163,Afghanistan,New Zealand,175,bowl,Eden Gardens,0
164,Australia,Bangladesh,178,bat,SCG,1
165,West Indies,Sri Lanka,155,bat,Eden Gardens,1
166,West Indies,South Africa,142,bat,Gaddafi Stadium,0
167,Pakistan,India,122,bat,Dubai International Stadium,0
168,South Africa,Pakistan,121,bowl,Wankhede Stadium,1
169,South Africa,Afghanistan,155,bowl,Dubai International Stadium,1
170,England,India,165,bowl,Wankhede Stadium,0
171,India,Afghanistan,141,bowl,SCG,1
172,England,India,152,bat,Pallekele International Cricket Stadium,0
173,England,South Africa,156,bowl,Pallekele International Cricket Stadium,1
174,Pakistan,Sri Lanka,184,bat,Adelaide Oval,1
175,Bangladesh,Australia,149,bowl,Melbourne Cricket Ground,0
176,India,Australia,169,bat,Eden Gardens,0
177,India,Pakistan,169,bat,Lord's,1
178,Pakistan,England,183,bowl,Dubai International Stadium,0
179,New Zealand,Pakistan,147,bowl,Dubai International Stadium,1
180,New Zealand,South Africa,162,bowl,Dubai International Stadium,1
181,South Africa,Sri Lanka,149,bat,Melbourne Cricket Ground,1
182,Sri Lanka,Bangladesh,157,bat,Gaddafi Stadium,0
183,England,Australia,180,bat,SCG,1
184,West Indies,England,198,bowl,Gaddafi Stadium,0
185,Afghanistan,Sri Lanka,184,bat,Lord's,1
186,Pakistan,Bangladesh,184,bowl,Lord's,0
187,West Indies,New Zealand,155,bowl,Dubai International Stadium,0
188,India,Sri Lanka,160,bowl,Melbourne Cricket Ground,0
189,Afghanistan,Pakistan,169,bat,Pallekele International Cricket Stadium,1
190,India,South Africa,170,bowl,Eden Gardens,1
191,India,Bangladesh,157,bat,Eden Gardens,1
192,West Indies,Australia,114,bowl,SCG,1
193,Pakistan,South Africa,166,bowl,Pallekele International Cricket Stadium,0
194,Australia,South Africa,194,bat,Dubai International Stadium,1
195,India,England,166,bat,Old Trafford,1
196,South Africa,Pakistan,181,bat,Gaddafi Stadium,1
197,New Zealand,South Africa,185,bat,Melbourne Cricket Ground,1
198,South Africa,England,141,bat,Old Trafford,0
199,India,Sri Lanka,142,bowl,Gaddafi Stadium,1
200,Australia,South Africa,185,bowl,Adelaide Oval,0
201,Afghanistan,Pakistan,132,bowl,Lord's,1
202,Sri Lanka,Afghanistan,213,bat,Gaddafi Stadium,1
203,West Indies,Sri Lanka,179,bowl,Dubai International Stadium,0
204,West Indies,India,169,bat,Eden Gardens,0
205,Sri Lanka,Afghanistan,160,bat,Pallekele International Cricket Stadium,0
206,India,Afghanistan,169,bowl,Wankhede Stadium,1
207,Bangladesh,Sri Lanka,160,bat,Gaddafi Stadium,0
208,New Zealand,Afghanistan,195,bat,Gaddafi Stadium,1
209,West Indies,England,169,bat,Old Trafford,0
210,West Indies,Pakistan,155,bowl,Lord's,0
211,South Africa,Australia,204,bowl,Lord's,0
212,Sri Lanka,Australia,196,bat,Adelaide Oval,1
213,Bangladesh,England,201,bowl,Pallekele International Cricket Stadium,1
214,England,Australia,191,bowl,Dubai International Stadium,1
215,Afghanistan,India,184,bowl,Old Trafford,0
216,Sri Lanka,India,177,bat,Lord's,1
217,Afghanistan,Sri Lanka,150,bat,Dubai International Stadium,0
218,Sri Lanka,South Africa,169,bat,Melbourne Cricket Ground,0
219,England,New Zealand,120,bowl,Melbourne Cricket Ground,1
220,India,Pakistan,178,bat,Gaddafi Stadium,0
221,Bangladesh,Sri Lanka,185,bowl,Melbourne Cricket Ground,0
222,Australia,Pakistan,155,bowl,Adelaide Oval,1
223,Bangladesh,Pakistan,157,bowl,Old Trafford,1
224,New Zealand,India,175,bowl,Gaddafi Stadium,0
225,India,New Zealand,145,bat,Lord's,0
226,West Indies,Sri Lanka,178,bowl,SCG,1
227,Bangladesh,West Indies,178,bat,SCG,0
228,South Africa,New Zealand,128,bat,Dubai International Stadium,0
229,Australia,England,157,bowl,Lord's,1
230,Afghanistan,New Zealand,173,bowl,Eden Gardens,1
231,Pakistan,South Africa,218,bat,Gaddafi Stadium,1
232,Australia,West Indies,188,bat,Adelaide Oval,1
233,South Africa,India,214,bat,Pallekele International Cricket Stadium,1
234,England,Australia,180,bat,SCG,0
235,South Africa,Pakistan,188,bat,Lord's,0
236,New Zealand,India,144,bowl,Old Trafford,1
237,India,Bangladesh,208,bat,Gaddafi Stadium,1
238,West Indies,Pakistan,162,bat,Gaddafi Stadium,0
239,Sri Lanka,England,160,bat,Dubai International Stadium,0
240,South Africa,England,176,bowl,Old Trafford,0
241,New Zealand,Afghanistan,149,bat,Melbourne Cricket Ground,0
242,Afghanistan,Australia,194,bat,Dubai International Stadium,1
243,England,Afghanistan,161,bowl,Adelaide Oval,0
244,India,Pakistan,174,bat,Pallekele International Cricket Stadium,1
245,Australia,Afghanistan,146,bowl,SCG,1
246,West Indies,India,207,bowl,SCG,0
247,Pakistan,West Indies,172,bowl,Wankhede Stadium,0
248,Australia,England,183,bowl,Pallekele International Cricket Stadium,0
249,Sri Lanka,Pakistan,156,bat,Eden Gardens,1
250,South Africa,West Indies,211,bat,Dubai International Stadium,1
251,Afghanistan,Bangladesh,142,bat,SCG,0
252,New Zealand,Sri Lanka,170,bowl,Dubai International Stadium,0
253,India,Bangladesh,189,bat,Adelaide Oval,1
254,Australia,West Indies,119,bowl,Old Trafford,1
255,Afghanistan,Pakistan,161,bowl,Adelaide Oval,0
256,South Africa,Pakistan,131,bowl,Dubai International Stadium,1
257,Afghanistan,New Zealand,172,bowl,Melbourne Cricket Ground,1
258,Pakistan,Afghanistan,174,bowl,Lord's,0
259,Pakistan,Afghanistan,175,bat,Wankhede Stadium,0
260,Sri Lanka,West Indies,187,bowl,Gaddafi Stadium,0
261,Pakistan,Afghanistan,171,bat,Old Trafford,1
262,England,South Africa,139,bowl,Gaddafi Stadium,0
263,Australia,England,174,bat,Adelaide Oval,0
264,Sri Lanka,Afghanistan,192,bowl,Gaddafi Stadium,0
265,West Indies,South Africa,191,bowl,SCG,0
266,West Indies,Sri Lanka,184,bat,Old Trafford,1
267,Sri Lanka,West Indies,163,bowl,Wankhede Stadium,0
268,Australia,England,165,bat,Adelaide Oval,0
269,Australia,Afghanistan,166,bat,Old Trafford,0
270,Sri Lanka,India,171,bat,SCG,1
271,Bangladesh,India,160,bowl,Wankhede Stadium,1
272,New Zealand,South Africa,182,bowl,SCG,0
273,Australia,South Africa,130,bat,Gaddafi Stadium,0
274,New Zealand,England,150,bowl,Dubai International Stadium,1
275,Australia,New Zealand,128,bat,Wankhede Stadium,0
276,Afghanistan,New Zealand,162,bat,Eden Gardens,0
277,West Indies,England,144,bowl,Lord's,1
278,West Indies,Australia,168,bat,Gaddafi Stadium,1
279,Australia,India,159,bat,Eden Gardens,0
280,Afghanistan,India,121,bat,Wankhede Stadium,0
281,New Zealand,Afghanistan,145,bat,Lord's,0
282,Sri Lanka,New Zealand,160,bat,Wankhede Stadium,1
283,West Indies,Australia,159,bowl,Melbourne Cricket Ground,1
284,Pakistan,South Africa,234,bat,Wankhede Stadium,1
285,Afghanistan,Bangladesh,135,bowl,Lord's,1
286,Pakistan,New Zealand,127,bowl,Gaddafi Stadium,1
287,South Africa,Sri Lanka,152,bat,Wankhede Stadium,1
288,New Zealand,Bangladesh,160,bat,SCG,1
289,South Africa,West Indies,191,bowl,Gaddafi Stadium,1
290,Afghanistan,Bangladesh,175,bat,Lord's,1
291,India,South Africa,171,bat,Melbourne Cricket Ground,0
292,Australia,Sri Lanka,190,bat,Melbourne Cricket Ground,1
293,England,Sri Lanka,203,bowl,Old Trafford,0
294,Afghanistan,Sri Lanka,193,bowl,Adelaide Oval,0
295,Bangladesh,Sri Lanka,149,bat,Eden Gardens,0
296,India,England,172,bowl,Pallekele International Cricket Stadium,0
297,Sri Lanka,Pakistan,161,bowl,Adelaide Oval,0
298,South Africa,Afghanistan,147,bowl,Wankhede Stadium,1
299,Afghanistan,New Zealand,150,bat,Dubai International Stadium,1
300,Afghanistan,Pakistan,191,bowl,SCG,0
301,Bangladesh,Australia,219,bowl,Eden Gardens,0
302,England,South Africa,191,bowl,Dubai International Stadium,0
303,England,Afghanistan,148,bat,Pallekele International Cricket Stadium,0
304,West Indies,Sri Lanka,197,bat,Lord's,1
305,West Indies,Bangladesh,176,bat,Pallekele International Cricket Stadium,1
306,Bangladesh,South Africa,162,bat,Pallekele International Cricket Stadium,0
307,Bangladesh,England,140,bowl,Adelaide Oval,1
308,Australia,Pakistan,181,bowl,Eden Gardens,0
309,West Indies,Sri Lanka,169,bat,Lord's,0
310,Bangladesh,Australia,169,bowl,Dubai International Stadium,0
311,Bangladesh,Afghanistan,183,bowl,Old Trafford,0
312,New Zealand,India,159,bowl,Adelaide Oval,1
313,South Africa,Pakistan,164,bat,Pallekele International Cricket Stadium,1
314,New Zealand,Australia,168,bat,Eden Gardens,0
315,Pakistan,Sri Lanka,137,bowl,Gaddafi Stadium,1
316,England,West Indies,211,bat,Wankhede Stadium,1
317,Sri Lanka,Afghanistan,152,bat,Adelaide Oval,0
318,India,Sri Lanka,144,bowl,Gaddafi Stadium,1
319,New Zealand,India,159,bowl,Wankhede Stadium,1
320,India,Pakistan,161,bowl,Adelaide Oval,1
321,India,Australia,125,bat,SCG,0
322,South Africa,Afghanistan,154,bat,Adelaide Oval,1
323,New Zealand,Bangladesh,193,bowl,Old Trafford,0
324,Australia,England,218,bowl,Dubai International Stadium,0
325,England,West Indies,130,bat,Adelaide Oval,0
326,South Africa,Bangladesh,146,bowl,SCG,1
327,Sri Lanka,New Zealand,119,bowl,Lord's,1
328,South Africa,Pakistan,146,bat,Pallekele International Cricket Stadium,0
329,Afghanistan,South Africa,194,bowl,Gaddafi Stadium,0
330,Australia,Bangladesh,171,bowl,Adelaide Oval,0
331,Australia,Sri Lanka,171,bowl,Old Trafford,1
332,Bangladesh,New Zealand,120,bowl,Gaddafi Stadium,1
333,Australia,South Africa,183,bowl,Eden Gardens,1
334,India,Afghanistan,141,bat,Old Trafford,0
335,New Zealand,Afghanistan,144,bowl,Dubai International Stadium,1
336,West Indies,Pakistan,176,bat,Wankhede Stadium,0
337,India,Afghanistan,174,bowl,SCG,1
338,India,Bangladesh,182,bat,SCG,0
339,Pakistan,New Zealand,164,bat,Wankhede Stadium,1
340,India,Afghanistan,163,bat,Adelaide Oval,1
341,New Zealand,Australia,149,bat,Wankhede Stadium,0
342,Bangladesh,New Zealand,180,bat,Lord's,1
343,England,West Indies,191,bat,Eden Gardens,1
344,Pakistan,India,211,bowl,Pallekele International Cricket Stadium,0
345,Pakistan,West Indies,140,bat,Melbourne Cricket Ground,0
346,West Indies,India,130,bowl,Old Trafford,1
347,South Africa,Pakistan,168,bowl,Adelaide Oval,1
348,Australia,England,187,bat,SCG,1
349,India,England,177,bowl,SCG,0
350,New Zealand,South Africa,168,bowl,Old Trafford,0
351,Australia,West Indies,142,bowl,Pallekele International Cricket Stadium,1
352,England,India,147,bat,SCG,1
353,New Zealand,West Indies,181,bowl,Old Trafford,1
354,West Indies,England,177,bat,Melbourne Cricket Ground,1
355,West Indies,England,148,bat,Wankhede Stadium,0
356,Sri Lanka,South Africa,159,bat,Wankhede Stadium,1
357,England,India,191,bat,Wankhede Stadium,1
358,West Indies,New Zealand,184,bat,Old Trafford,1
359,Pakistan,India,147,bowl,Lord's,1
360,Australia,South Africa,186,bat,Adelaide Oval,1
361,Sri Lanka,Australia,172,bowl,Pallekele International Cricket Stadium,1
362,New Zealand,Sri Lanka,147,bat,Adelaide Oval,0
363,Pakistan,India,125,bowl,Gaddafi Stadium,1
364,Australia,West Indies,179,bat,Wankhede Stadium,1
365,Bangladesh,Australia,167,bat,Eden Gardens,1
366,West Indies,Pakistan,178,bat,Wankhede Stadium,0
367,New Zealand,Sri Lanka,184,bowl,Dubai International Stadium,0
368,New Zealand,Bangladesh,155,bowl,SCG,0
369,West Indies,New Zealand,138,bowl,Old Trafford,1
370,New Zealand,Bangladesh,149,bat,SCG,0
371,India,Sri Lanka,138,bat,Pallekele International Cricket Stadium,0
372,New Zealand,West Indies,158,bowl,SCG,1
373,Pakistan,Bangladesh,175,bat,Melbourne Cricket Ground,1
374,Australia,Bangladesh,145,bat,SCG,1
375,Bangladesh,New Zealand,155,bat,Dubai International Stadium,1
376,Sri Lanka,New Zealand,197,bowl,Eden Gardens,0
377,England,Afghanistan,105,bowl,Wankhede Stadium,1
378,Australia,New Zealand,185,bowl,Wankhede Stadium,1
379,India,Australia,159,bat,Old Trafford,1
380,Afghanistan,India,164,bat,Pallekele International Cricket Stadium,0
381,India,Australia,136,bat,Melbourne Cricket Ground,0
382,Sri Lanka,Pakistan,163,bat,Pallekele International Cricket Stadium,0
383,India,Australia,161,bat,Pallekele International Cricket Stadium,1
384,Bangladesh,Pakistan,173,bowl,Pallekele International Cricket Stadium,0
385,West Indies,Afghanistan,163,bowl,Dubai International Stadium,0
386,India,Pakistan,181,bat,Pallekele International Cricket Stadium,1
387,Sri Lanka,India,205,bowl,Adelaide Oval,0
388,Australia,West Indies,184,bat,Adelaide Oval,1
389,Afghanistan,Bangladesh,108,bat,Melbourne Cricket Ground,0
390,New Zealand,South Africa,108,bowl,Melbourne Cricket Ground,1
391,West Indies,Afghanistan,164,bat,Lord's,0
392,England,New Zealand,160,bowl,Gaddafi Stadium,1
393,Afghanistan,New Zealand,158,bowl,Dubai International Stadium,0
394,New Zealand,England,154,bowl,Lord's,0
395,Bangladesh,Afghanistan,174,bat,Pallekele International Cricket Stadium,1
396,India,New Zealand,162,bat,Lord's,0
397,New Zealand,South Africa,154,bat,Dubai International Stadium,0
398,Pakistan,Afghanistan,163,bat,Lord's,0
399,Pakistan,India,170,bat,Eden Gardens,1
400,West Indies,Sri Lanka,222,bat,Old Trafford,1
401,England,Sri Lanka,160,bat,Adelaide Oval,0
402,Pakistan,South Africa,144,bat,SCG,0
403,Australia,New Zealand,153,bowl,Dubai International Stadium,1
404,Australia,New Zealand,189,bowl,Adelaide Oval,0
405,Sri Lanka,England,139,bowl,Pallekele International Cricket Stadium,1
406,West Indies,Afghanistan,164,bat,Lord's,0
407,South Africa,Afghanistan,173,bat,Dubai International Stadium,0
408,West Indies,New Zealand,173,bowl,Gaddafi Stadium,1
409,Sri Lanka,India,159,bat,Gaddafi Stadium,0
410,South Africa,Sri Lanka,165,bowl,Dubai International Stadium,0
411,Bangladesh,Australia,190,bat,SCG,1
412,Australia,Bangladesh,195,bat,Adelaide Oval,1
413,India,West Indies,173,bowl,SCG,1
414,South Africa,New Zealand,202,bowl,Melbourne Cricket Ground,0
415,South Africa,India,164,bat,Melbourne Cricket Ground,1
416,Pakistan,South Africa,204,bowl,SCG,0
417,Australia,New Zealand,138,bowl,Melbourne Cricket Ground,1
418,Bangladesh,Australia,153,bat,Gaddafi Stadium,1
419,Australia,India,202,bowl,Wankhede Stadium,0
420,Pakistan,South Africa,190,bat,Eden Gardens,1
421,Bangladesh,Australia,128,bat,Old Trafford,0
422,New Zealand,Bangladesh,143,bat,Pallekele International Cricket Stadium,0
423,England,Australia,210,bat,Melbourne Cricket Ground,1
424,Bangladesh,Afghanistan,205,bowl,Old Trafford,0
425,West Indies,South Africa,188,bat,Pallekele International Cricket Stadium,1
426,Afghanistan,England,180,bat,Old Trafford,1
427,Australia,Bangladesh,155,bowl,SCG,1
428,India,Pakistan,152,bat,Old Trafford,1
429,New Zealand,Bangladesh,184,bowl,Old Trafford,0
430,England,Sri Lanka,166,bowl,Gaddafi Stadium,1
431,Australia,Sri Lanka,177,bowl,Eden Gardens,0
432,India,Australia,156,bowl,Old Trafford,1
433,India,South Africa,134,bat,Melbourne Cricket Ground,0
434,South Africa,India,219,bat,Pallekele International Cricket Stadium,1
435,Bangladesh,West Indies,159,bat,SCG,0
436,Australia,New Zealand,152,bowl,Melbourne Cricket Ground,0
437,Sri Lanka,Bangladesh,167,bat,Melbourne Cricket Ground,0
438,New Zealand,Bangladesh,205,bat,Melbourne Cricket Ground,1
439,West Indies,England,104,bat,SCG,0
440,Bangladesh,New Zealand,166,bowl,SCG,1
441,Sri Lanka,England,177,bowl,Lord's,0
442,India,Bangladesh,214,bowl,Gaddafi Stadium,0
443,Sri Lanka,England,153,bat,Eden Gardens,0
444,West Indies,Pakistan,161,bat,Wankhede Stadium,1
445,India,Australia,207,bowl,SCG,0
446,Afghanistan,Bangladesh,135,bowl,Melbourne Cricket Ground,1
447,Australia,England,200,bowl,Wankhede Stadium,0
448,South Africa,Australia,146,bowl,Eden Gardens,0
449,Australia,New Zealand,200,bat,Gaddafi Stadium,1
450,Pakistan,New Zealand,174,bowl,Lord's,0
451,South Africa,Sri Lanka,197,bat,Adelaide Oval,1
452,Australia,Afghanistan,145,bat,Melbourne Cricket Ground,0
453,Bangladesh,Sri Lanka,184,bat,SCG,0
454,England,Bangladesh,176,bat,Pallekele International Cricket Stadium,1
455,England,Sri Lanka,191,bowl,Eden Gardens,0
456,New Zealand,India,143,bowl,Pallekele International Cricket Stadium,0
457,Sri Lanka,Australia,97,bat,Melbourne Cricket Ground,0
458,Afghanistan,Pakistan,200,bat,Gaddafi Stadium,1
459,India,Afghanistan,174,bat,Dubai International Stadium,1
460,New Zealand,South Africa,166,bat,Dubai International Stadium,0
461,Australia,Bangladesh,203,bat,Gaddafi Stadium,1
462,England,Australia,192,bowl,SCG,1
463,Afghanistan,West Indies,181,bat,Eden Gardens,1
464,South Africa,Bangladesh,173,bat,Pallekele International Cricket Stadium,1
465,Pakistan,Sri Lanka,125,bowl,Adelaide Oval,1
466,Pakistan,Bangladesh,137,bat,Pallekele International Cricket Stadium,1
467,West Indies,India,113,bat,SCG,0
468,Afghanistan,Sri Lanka,174,bat,Old Trafford,0
469,New Zealand,West Indies,186,bowl,Eden Gardens,0
470,England,Bangladesh,167,bat,Eden Gardens,0
471,Australia,Afghanistan,176,bat,Wankhede Stadium,1
472,South Africa,India,172,bowl,Old Trafford,0
473,Pakistan,New Zealand,165,bat,Lord's,1
474,Australia,England,202,bat,Eden Gardens,1
475,West Indies,Afghanistan,167,bat,Lord's,1
476,New Zealand,South Africa,151,bowl,Gaddafi Stadium,1
477,India,South Africa,154,bat,Gaddafi Stadium,0
478,Pakistan,England,115,bat,Eden Gardens,0
479,South Africa,Afghanistan,162,bat,Gaddafi Stadium,0
480,England,New Zealand,172,bat,Gaddafi Stadium,0
